id,title,lat,lon,city,state,postcode,operator,num_connections,num_points,max_power_kw,speed_category,is_operational,year_created,cluster,is_free,is_desert
185596,Bahnhpfsplatz 4,47.99821,11.17129,Herrsching,,82211,,3,3,30.0,Medium (22-49 kW),,2021,1,False,False
185595,Bertha-von-Suttner-Straße 14,47.997777,7.79368,Freiburg im Breisgau,,79111,,2,2,22.0,Medium (22-49 kW),,2021,5,False,False
185594,Gewerbepark 2,47.972133,8.908268,Neuhausen ob Eck,,78579,,2,2,22.0,Medium (22-49 kW),,2021,5,False,False
185593,Bohrerstraße 11,47.936575,7.86522,Horben,,79289,,4,4,22.0,Medium (22-49 kW),,2021,5,False,False
185592,Steinmattenstraße 5,47.87115,7.64753,Heitersheim,,79423,,2,2,22.0,Medium (22-49 kW),,2021,5,False,False
185591,Talstrasse 3a,47.794525,8.351893,Bonndorf im Schwarzwald,,79848,,3,3,50.0,Fast (50-99 kW),,2021,5,False,False
185590,Bahnhofstr. 900 Z,47.766667,11.721111,Gmund,,83703,,2,2,22.0,Medium (22-49 kW),,2021,1,False,False
185589,Bäuerlinger Weg 4,47.697812,10.34637,Durach,,87471,,2,2,22.0,Medium (22-49 kW),,2021,1,False,False
185588,Max-Stromeyer-Straße 178,47.680181,9.148743,Konstanz,,78467,,2,2,22.0,Medium (22-49 kW),,2021,5,False,False
185587,Rheingutstraße 36,47.667404,9.166143,Konstanz,,78462,,2,2,22.0,Medium (22-49 kW),,2021,5,False,False
185586,Obere Laube 38,47.660759,9.17158,Konstanz,,78462,,2,2,22.0,Medium (22-49 kW),,2021,5,False,False
185585,Im Schaffeld 1,47.621939,7.98586,Rickenbach,,79736,,3,3,50.0,Fast (50-99 kW),,2021,5,False,False
185584,Blaichacher Straße 25,47.540152,10.279298,Burgberg,,87545,,2,2,22.0,Medium (22-49 kW),,2021,1,False,False
185583,Sonnenalp 1,47.491301,10.25787,Ofterschwang,,87527,,2,2,22.0,Medium (22-49 kW),,2021,1,False,False
185549,Ladestation REWE Kreuzstraße,51.341168,12.395672,Leipzig,,04315,,1,2,22.0,Medium (22-49 kW),,2021,3,False,False
